dataset,concept,contribution,contribution_synth,contribution_real,activation_prob,usage_synth,usage_real,auc,n_images
cnnspot,physics_contact,-0.038877454,-0.0046844822,-0.072259605,0.040538106,0.0025303643724696357,0.06324110671936758,0.8043123209742202,4000
cnnspot,perspective_coherence,-0.110262096,-0.03553461,-0.18321761,0.11382498,0.023785425101214574,0.1773715415019763,0.7315195888207902,4000
cnnspot,occlusion_logic,-1.6334993e-06,-7.5979824e-07,-2.4864853e-06,0.00032773815,0.0,0.0,0.571781586548463,4000
cnnspot,depth_consistency,0.040593572,0.0715267,0.010394064,0.065861866,0.0708502024291498,0.010375494071146246,0.7539200644892864,4000
cnnspot,fabric_realism,-0.0022310037,-0.00018210575,-0.0042313123,0.0031996332,0.0,0.003952569169960474,0.7386886211614472,4000
cnnspot,hair_realism,1.0728909e-05,9.7226975e-06,1.1711219e-05,0.0001904008,0.0,0.0,0.5306330361572067,4000
cnnspot,skin_microtexture,0.028662587,0.052574534,0.0053178114,0.058000255,0.07540485829959515,0.007411067193675889,0.6739100430461986,4000
cnnspot,eye_catchlight,-0.10399654,-0.035469614,-0.17089851,0.11974988,0.025809716599190284,0.17193675889328064,0.7034796760733546,4000
cnnspot,sensor_noise_pattern,-7.89291e-05,-4.507031e-06,-0.00015158638,0.00064085174,0.0,0.0,0.5546374927989631,4000
cnnspot,jpeg_grid,0.012562743,0.022551294,0.0028110873,0.029174104,0.02327935222672065,0.0024703557312252965,0.704109516770415,4000
cnnspot,depth_map_halo,-2.0021018e-05,-3.8947005e-06,-3.5764853e-05,0.00024577536,0.0,0.0,0.5834765206189692,4000
cnnspot,segmentation_errors,-0.019358968,0.09599748,-0.13197964,0.3205465,0.4549595141700405,0.19120553359683795,0.7633444215967099,4000
cnnspot,style_consistency,-5.2619043e-06,9.293101e-06,-1.9471738e-05,0.0002854269,0.0,0.0,0.5152408196780336,4000
cnnspot,minimalist_style,0.11942832,0.23576055,0.0058549084,0.12308479,0.22469635627530365,0.004446640316205534,0.7265973800227232,4000
cnnspot,cinematic_tone,-0.0008319349,-8.4579944e-05,-0.0015615657,0.0013560904,0.0,0.0014822134387351778,0.6929252812404987,4000
cnnspot,vintage_aesthetic,0.24290627,0.42253134,0.067541555,0.27879116,0.4939271255060729,0.04693675889328063,0.8570246615512633,4000
cnnspot,documentary_look,-5.0501377e-08,3.162097e-07,-4.0851597e-07,0.00031657977,0.0,0.0,0.5518925975340448,4000
cnnspot,studio_quality,5.984915e-09,4.2855457e-09,7.64401e-09,0.00034477183,0.0,0.0,0.5632168532268647,4000
cnnspot,imperfection_cues,1.8586046e-06,2.1857097e-06,1.5392608e-06,0.0003685656,0.0,0.0,0.5300742056856187,4000
cnnspot,repetition_artifacts,0.32545397,0.63848937,0.01984275,0.36798394,0.7196356275303644,0.012845849802371542,0.9273352862812244,4000
cnnspot,detail_variation,0.000690949,0.0006702341,0.000711174,0.0038788384,0.0,0.0,0.566044510409499,4000
cnnspot,glitch_artifacts,-0.0015835332,-0.00029094666,-0.0028454643,0.0033829913,0.0,0.0009881422924901185,0.7048907542686147,4000
cnnspot,cross_processing,-6.123309e-05,-8.684529e-06,-0.000112535534,0.00035803288,0.0,0.0,0.8046601210574322,4000
cnnspot,fake_lens_effects,-0.00038072534,0.00021049006,-0.0009579197,0.002514358,0.0,0.0,0.5092374551935479,4000
cnnspot,depth_realism,-3.4017434e-05,-4.302729e-06,-6.302733e-05,0.00018136656,0.0,0.0,0.7670658324798771,4000
cnnspot,material_specularity,-4.380899e-06,-9.0778553e-07,-7.771641e-06,9.915726e-05,0.0,0.0,0.5549642898577395,4000
cnnspot,shadow_softness,-2.6601725e-07,-2.0677696e-07,-3.2385265e-07,0.0003179838,0.0,0.0,0.5764505088732778,4000
cnnspot,specular_noise,-7.5161284e-07,-8.312997e-07,-6.7381717e-07,0.00031719904,0.0,0.0,0.5733296844745643,4000
cnnspot,reflection_fresnel,0.00012012646,0.00017481697,6.673291e-05,0.0012689711,0.0,0.0,0.5255491790817878,4000
cnnspot,subsurface_scattering,-1.2809888e-07,2.6595845e-07,-5.1281097e-07,0.000344382,0.0,0.0,0.5517031952601175,4000
cnnspot,depth_quantization,0.0028473258,0.005384547,0.000370286,0.0136278635,0.00354251012145749,0.0004940711462450593,0.6549000556080076,4000
cnnspot,halo_artifacts,2.442639e-08,4.72928e-08,2.1022795e-09,0.00033682477,0.0,0.0,0.5608106317309692,4000
cnnspot,ringing_artifacts,0.2009013,0.36327586,0.042378142,0.23206863,0.4276315789473684,0.022727272727272728,0.834679693875918,4000
cnnspot,band_limited_edges,-0.0037478462,-0.00064116373,-0.006780862,0.0060060304,0.0,0.004446640316205534,0.6999875482069418,4000
cnnspot,text_placement,0.00055633683,0.0008087669,0.0003098918,0.0018098953,0.0010121457489878543,0.0,0.5778147053175657,4000
cnnspot,logo_rendering,-3.4910863e-09,-3.707539e-07,3.5506173e-07,0.0003360034,0.0,0.0,0.5622419628426494,4000
cnnspot,print_texture,-6.6502944e-05,-1.8043274e-06,-0.0001296673,0.0007088552,0.0,0.0,0.5243447556448129,4000
cnnspot,scan_artifacts,-0.00024593476,-1.3939665e-05,-0.00047242784,0.000601334,0.0,0.0,0.8578677829607464,4000
cnnspot,lens_dirt,7.9159696e-07,1.6881912e-06,-8.373328e-08,0.00038486486,0.0,0.0,0.5378552011489655,4000
cnnspot,matte_edges,0.031798206,0.06035255,0.0039210035,0.07567403,0.09008097165991903,0.023715415019762844,0.6862613216303147,4000
cnnspot,scene_textures,2.2380311e-07,3.5741738e-07,9.3357286e-08,0.0003181705,0.0,0.0,0.553049389112032,4000
cnnspot,global_illumination,-1.8749272e-07,-1.02258184e-07,-2.707057e-07,0.00032720744,0.0,0.0,0.5717055756028868,4000
cnnspot,contact_shadows,9.9317425e-05,0.0001871542,1.3563862e-05,0.00055871386,0.0,0.0,0.6124904486246019,4000
cnnspot,reflection_blur,-1.916352e-05,-6.713953e-06,-3.131779e-05,0.00010632837,0.0,0.0,0.7403088544750445,4000
cnnspot,edge_coherence,0.085526116,0.14300546,0.029410018,0.1076205,0.1508097165991903,0.031126482213438736,0.6455589604903106,4000
cnnspot,fine_detail,-9.474414e-07,-9.399889e-07,-9.547168e-07,0.00033568867,0.0,0.0,0.575970439743323,4000
cnnspot,background_integration,-0.012026285,-0.0028453844,-0.020989474,0.018543107,0.0015182186234817814,0.010375494071146246,0.6954954013377926,4000
cnnspot,depth_layering,0.23480038,0.5130463,-0.03684647,0.42929474,0.7899797570850202,0.06620553359683795,0.9280948956649757,4000
cnnspot,time_of_day_coherence,-0.00040528044,-7.9366844e-05,-0.00072346407,0.0007626712,0.0,0.0004940711462450593,0.6892027451953081,4000
cnnspot,weather_coherence,-0.031629205,-0.015309483,-0.04756205,0.033507977,0.009615384615384616,0.04199604743083004,0.6554683874477925,4000
cnnspot,exif_presence,0.0012329951,0.0020689177,0.0004169031,0.0049993033,0.0015182186234817814,0.0,0.6204893504664671,4000
synthclic,saturation,-1.2309338e-08,-1.20844765e-08,-1.32087505e-08,9.760849e-05,0.0,0.0,0.510838146344659,2140
synthclic,desaturation,0.008734416,0.0083270725,0.010363784,0.045851745,0.016939252336448597,0.10514018691588785,0.6171417809415669,2140
synthclic,vibrance,0.016817914,0.01729815,0.014897001,0.05561926,0.0397196261682243,0.0397196261682243,0.5191037426849506,2140
synthclic,color_temperature,0.019038327,0.022498857,0.0051962486,0.033685867,0.027453271028037383,0.004672897196261682,0.5896844156694907,2140
synthclic,white_balance,0.022045782,0.023649143,0.015632354,0.04285633,0.029789719626168224,0.016355140186915886,0.557197953969779,2140
synthclic,contrast,0.013283691,0.01434919,0.009021717,0.023152735,0.013434579439252336,0.009345794392523364,0.524416706699275,2140
synthclic,dynamic_range,1.698266e-07,1.7249208e-07,1.591648e-07,7.700088e-05,0.0,0.0,0.5827514957638221,2140
synthclic,shadow_detail,-9.3217e-08,-9.40027e-08,-9.007472e-08,0.000109847446,0.0,0.0,0.5340832168748362,2140
synthclic,highlight_detail,0.0043533077,0.004956646,0.0019399491,0.011839155,0.007593457943925234,0.002336448598130841,0.5233385557690629,2140
synthclic,black_point,0.022276781,0.025352988,0.009971988,0.039772637,0.03329439252336448,0.009345794392523364,0.6368460127522054,2140
synthclic,color_accuracy,-1.0100877e-08,-2.1776986e-08,3.6603517e-08,0.000109434724,0.0,0.0,0.6491103207703729,2140
synthclic,skin_tone,-1.8712274e-07,-2.0516774e-07,-1.1494241e-07,0.00010912202,0.0,0.0,0.5372330552886715,2140
synthclic,hue_consistency,4.0456058e-07,4.3989525e-07,2.6322243e-07,0.000111744666,0.0,0.0,0.5545203183684164,2140
synthclic,color_banding,0.4152145,0.46095967,0.23223461,0.4742832,0.5408878504672897,0.24065420560747663,0.7056047471394882,2140
synthclic,color_bleeding,-1.3161812e-07,-1.8086037e-07,6.535086e-08,3.3784745e-05,0.0,0.0,0.5349648440911869,2140
synthclic,color_depth,7.1938547e-07,7.0892327e-07,7.6123126e-07,0.0001162286,0.0,0.0,0.5662203030832387,2140
synthclic,chroma_noise,2.810644e-08,2.9557983e-08,2.2300316e-08,0.00010673799,0.0,0.0,0.5479804458904708,2140
synthclic,tint,-3.6939124e-07,-3.7024455e-07,-3.6597854e-07,0.000112124326,0.0,0.0,0.5238325945497424,2140
synthclic,split_toning,1.9974522e-07,2.0038857e-07,1.9717196e-07,0.000110390196,0.0,0.0,0.5377243645733252,2140
synthclic,color_harmony,0.10610323,0.1225237,0.040421214,0.13658915,0.13434579439252337,0.04439252336448598,0.6316872652633418,2140
synthclic,color_uniformity,-0.0070526027,-0.0034495667,-0.02146477,0.03602006,0.014602803738317757,0.06542056074766354,0.6959491549480303,2140
synthclic,highlight_rolloff,4.437771e-07,4.493782e-07,4.213737e-07,0.00011889954,0.0,0.0,0.621301532884968,2140
