cue,d_q,delta,delta_sd,delta_ci_lo,delta_ci_hi,n_pairs,n_clusters,n_generators,within_class_r,family,label
cgi_cues,-0.1422038877565299,-0.0033400585667108336,0.023487814710308162,-0.005191269430896486,-0.0016296033249312135,1712,428,4,-0.0079918418414612,other,no CGI indicators
moire_pattern,-0.14512288129402526,-0.003746649303512836,0.02581708184198715,-0.0058522203698222275,-0.0016881026396106872,1712,428,4,0.012710752531455,detail_texture,no moire pattern
background_integration,-0.15012627109404458,-0.0034040550639884656,0.0226746127721779,-0.005134658164610073,-0.001643406016357031,1712,428,4,-0.0930752135269935,other,subject blends into scene
lighting_direction,-0.15976221429710896,-0.003997432691591295,0.025021139755595088,-0.005955903595398047,-0.0019792581708577904,1712,428,4,-0.0271872015154999,other,"coherent lighting
direction"
texture_realism,-0.17367116475852765,-0.0034762341444726425,0.02001618489347957,-0.004961452378728966,-0.0019700741614013377,1712,428,4,-0.1098683207191144,other,stochastic fine texture
camera_shake,-0.18630957498141662,-0.006234245074474274,0.03346175350942702,-0.009152211345382145,-0.003447933083584736,1712,428,4,0.0218802883842599,detail_texture,stabilized exposure
retouching,-0.1936055610018672,-0.00545832002674224,0.0281929919703577,-0.00792870557168259,-0.0031211336180362956,1712,428,4,0.0700234532978491,detail_texture,subtle retouching
color_depth,-0.19392842211118266,-0.004596594977708846,0.023702533788850896,-0.006479969244814143,-0.002836599380294669,1712,428,4,0.0475758762789454,tone_color,deep color depth
ringing_artifacts,-0.19862152146139572,-0.004193403495069148,0.02111253334591026,-0.005847256846176623,-0.0025523959404653456,1712,428,4,-0.0480803408526988,other,no ringing artifacts
film_grain,-0.200533982942017,-0.005193190418435521,0.02589680981869839,-0.0072183205909380765,-0.002956093793921753,1712,428,4,0.0494730669551419,detail_texture,pleasing film grain
subsurface_scattering,-0.20185124635381962,-0.004503326697764568,0.022310125793678814,-0.006168640665865061,-0.002724265424610627,1712,428,4,-0.0251609200404356,other,translucent skin glow
astigmatism_aberration,-0.20360228755837578,-0.004752323752081227,0.023341210008353496,-0.006628447571522051,-0.0029117396368002987,1712,428,4,-0.0457736327407728,physics_optics,minimal astigmatism
depth_map_halo,-0.22359737818568884,-0.0052181273296157205,0.02333715793967079,-0.007037875929769436,-0.0034795310060534153,1712,428,4,0.0697970643122062,other,no depth map halo
tone_mapping_baked,-0.22482081712960428,-0.005188223451604899,0.02307714880608232,-0.007138829840566357,-0.003401126090053024,1712,428,4,-0.0840032253931672,provenance_process,subtle global tone map
print_texture,-0.2300219527643009,-0.006052539457125243,0.026312877464035638,-0.00792798907569836,-0.0040227719768557955,1712,428,4,-0.0704837295654333,other,authentic print texture
text_legibility,-0.24396497643368,-0.005481890316163612,0.02246998891520735,-0.007190401913066823,-0.003776049050516015,1712,428,4,-0.1997832543768465,other,legible text
sensor_noise_pattern,-0.246339179591914,-0.005313694184684065,0.021570641720439036,-0.007057898118409282,-0.003566285391023126,1712,428,4,-0.1041391662364036,other,photographic noise pattern
vintage_aesthetic,-0.25079860400974574,-0.00813775613874751,0.03244737414260602,-0.010662914793725081,-0.005637982032375599,1712,428,4,-0.0239705203727256,other,vintage aesthetic
sharpening_artifacts,-0.2524134911051402,-0.00565269182216182,0.02239457089798441,-0.007552476764099079,-0.0039432102755832844,1712,428,4,0.0268210742788592,detail_texture,no sharpening halos
color_bleeding,-0.255313398722736,-0.006426626050798483,0.02517151893691893,-0.008480961581003156,-0.004359054528730974,1712,428,4,-0.0645068526807869,tone_color,no color bleed
depth_consistency,-0.26896096804186054,-0.007813487120116007,0.02905063577440698,-0.01013954361191835,-0.005446844673305952,1712,428,4,-0.1090580404014117,other,depth cues agree
black_point,-0.27016477515954146,-0.0061370089741583835,0.022715799905943593,-0.007914455414171215,-0.004300387910798959,1712,428,4,-0.0633637497767337,tone_color,deep blacks
fake_lens_effects,-0.2744698494369828,-0.007692358677186306,0.028026242929653517,-0.010065629409828735,-0.005418239587376635,1712,428,4,-0.0076461415605768,other,authentic optical cues
highlight_detail,-0.27972027312189823,-0.006282434490601836,0.02245970383370832,-0.008036755929794265,-0.004528646769987919,1712,428,4,-0.0692646194983819,tone_color,preserved highlights
edge_coherence,-0.29774254477817985,-0.008716656073796717,0.029275816394632764,-0.011157834842280489,-0.006425974627329089,1712,428,4,-0.0891131165399097,other,edges align across layers
focus_breathing,-0.30607481036728185,-0.0083951700443314,0.027428490551892896,-0.010652235000994992,-0.006201616831635888,1712,428,4,-0.1024347701996542,physics_optics,minimal focus breathing
imperfection_cues,-0.3223827478319925,-0.008267708745776625,0.025645630237277096,-0.010404586637669265,-0.006269846490082065,1712,428,4,-0.0339575125775605,other,"minor optical
imperfections"
sensor_bloom,-0.3251766585744582,-0.007513666226455936,0.02310641317059808,-0.009274228904072458,-0.005659996924061952,1712,428,4,-0.0993260941046646,provenance_process,minimal highlight bleed
tiling_artifacts,-0.338511666880214,-0.009025309284051023,0.026661737739292528,-0.011310040847108847,-0.006932049719727813,1712,428,4,-0.0248451688567691,other,no tiling artifacts
depth_quantization,-0.3407378249818945,-0.01060452788205766,0.03112225031847035,-0.013278771302200036,-0.008062049822681955,1712,428,4,0.0087949951629034,other,continuous depth blur
skin_microtexture,-0.3414715851401986,-0.00788784116937286,0.023099553557682805,-0.009706531071492995,-0.006124792412703232,1712,428,4,-0.0970636862098667,other,"visible pores and fine
texture"
lighting_quality,-0.3425750890116639,-0.0083176328707813,0.024279736436113437,-0.01030854051148831,-0.0063296072655678074,1712,428,4,-0.1497446441435468,detail_texture,soft directional light
jpeg_grid,-0.36123089716567097,-0.009431582679245695,0.026109568016603236,-0.011442722871633622,-0.0074098765049184084,1712,428,4,0.0026620547642612,other,no JPEG blocking
edge_sharpness,-0.37816593639164964,-0.008923287400589968,0.023596222033463416,-0.01074980470205993,-0.0070154778790627054,1712,428,4,-0.0841716713376773,physics_optics,sharp corners
pinhole_camera_cues,-0.41133170368831845,-0.011522270125254598,0.02801211290531949,-0.013887728066206566,-0.00924098998896489,1712,428,4,-0.1423551413140251,provenance_process,"pinhole softness and
vignetting"
eye_catchlight,-0.4418177648108431,-0.011849197348506393,0.026819196266540862,-0.014076209167979171,-0.009702355866833998,1712,428,4,0.0006826454631818,other,coherent catchlights
posterization,-0.48961037416321357,-0.012530791043979425,0.025593393655915953,-0.014497793399418752,-0.01054159604844908,1712,428,4,-0.1009157515202643,detail_texture,no posterization
watermark,-0.5209853006306645,-0.012226171811482361,0.023467402624761782,-0.014147093930518379,-0.010326827872569137,1712,428,4,-0.1785274182295085,detail_texture,watermark absent
