dataset,split,source,attribute,n,q25,median,q75
synthclic,train,clic2020,naturalness,1633,0.43779560051940714,0.7164334364845126,0.8863760235456072
synthclic,train,clic2020,newness,1633,0.42206618840528,0.6570970366334558,0.823495714792779
synthclic,train,clic2020,noisiness,1633,0.1860623758510459,0.4403657977468275,0.7087250974585273
synthclic,train,clic2020,quality,1633,0.48713218606618713,0.812190104038385,0.9494602670862958
synthclic,train,clic2020,realness,1633,0.31478878555194895,0.5591031365032112,0.7979395698650623
synthclic,train,clic2020,relaxation,1633,0.6463304650070775,0.918781264543789,0.9824771402008958
synthclic,train,clic2020,scariness,1633,0.09451467908334467,0.4605255756749893,0.8738042436951979
synthclic,train,clic2020,sharpness,1633,0.3845785387549212,0.7506187190003311,0.9258467887825499
synthclic,train,clic2020,warmness,1633,0.5295542373402117,0.7099808711979986,0.841999934500644
synthclic,train,imagen3,beauty,1633,0.8914078440879605,0.9646648798220107,0.9889266680966348
synthclic,train,imagen3,brightness,1633,0.49545291101955585,0.8268463564022898,0.9555689190711901
synthclic,train,imagen3,colorfulness,1633,0.37544294619120033,0.7435031574347286,0.9319755842427139
synthclic,train,imagen3,complexity,1633,0.27593083202991237,0.48434392204879556,0.7079143033624014
synthclic,train,imagen3,contrast,1633,0.2239959051688416,0.3481220112958393,0.47641392277110384
synthclic,train,imagen3,happiness,1633,0.4572443720252768,0.7080187664366735,0.8655002900851901
synthclic,train,imagen3,loneliness,1633,0.6322473423246757,0.8418945856241651,0.9376788712877143
synthclic,train,imagen3,naturalness,1633,0.5862517133556782,0.8315419580620312,0.9332747337296922
synthclic,train,imagen3,newness,1633,0.7370448785564822,0.8428877044149465,0.9089855900588164
synthclic,train,imagen3,noisiness,1633,0.10994755408873898,0.24156886948213413,0.4508278179725582
synthclic,train,imagen3,quality,1633,0.9004091581724433,0.9655944509759183,0.9865452084454511
synthclic,train,imagen3,realness,1633,0.2912761743290804,0.5310905977184524,0.7745504328805928
synthclic,train,imagen3,relaxation,1633,0.8247368618709262,0.9673026063666952,0.9938439517175044
synthclic,train,imagen3,scariness,1633,0.02779989811276705,0.2330305277866127,0.6997027368516098
synthclic,train,imagen3,sharpness,1633,0.8566354761701274,0.955789470943188,0.9870649241440591
synthclic,train,imagen3,warmness,1633,0.6008068107970532,0.7762323715368503,0.884381815962933
synthbuster-plus,train,FLUX.1-dev,beauty,640,0.9538813465744989,0.9800254193035112,0.9920200691564396
synthbuster-plus,train,FLUX.1-dev,brightness,640,0.7549629960509525,0.9319682247996119,0.9803104281457298
synthbuster-plus,train,FLUX.1-dev,colorfulness,640,0.5276862148345868,0.8086835289169337,0.9394240064529266
synthbuster-plus,train,FLUX.1-dev,complexity,640,0.2923318016060472,0.4944162039645056,0.6859586407273337
synthbuster-plus,train,FLUX.1-dev,contrast,640,0.2392480755751496,0.32682265906595503,0.44699693585552075
synthbuster-plus,train,FLUX.1-dev,happiness,640,0.4589523533796577,0.6640727229563155,0.8184606394336182
synthbuster-plus,train,FLUX.1-dev,loneliness,640,0.6719971954798662,0.8440842862952096,0.9269153632515688
synthbuster-plus,train,FLUX.1-dev,naturalness,640,0.7859035386820801,0.921657266767389,0.963690797314807
synthbuster-plus,train,FLUX.1-dev,newness,640,0.505436153853427,0.631831344488007,0.7650694670628982
